CountyCode,Precinct,Castle / Bradley+Sum(CanVotes),Clinton / Kaine+Sum(CanVotes),De La Fuente / Steinberg+Sum(CanVotes),Johnson / Weld+Sum(CanVotes),OverVotes+Sum(CanVotes),Stein / Baraka+Sum(CanVotes),Trump / Pence+Sum(CanVotes),UnderVotes+Sum(CanVotes),WriteinVotes+Sum(CanVotes),WriteInVotes+Sum(CanVotes),CardsCast,VotesCast,Clinton%,Rep%
PIN,254,1,447,2,28,1,7,648,13,8,,1155,1141,0.3918,0.5679
PIN,255,0,624,2,30,0,6,853,12,22,,1549,1537,0.4060,0.5550
PIN,256,2,482,1,39,1,17,690,2,9,,1243,1240,0.3887,0.5565
PIN,257,7,783,1,59,2,18,1149,15,26,,2060,2043,0.3833,0.5624
PIN,258,1,326,5,31,0,8,403,4,8,,786,782,0.4169,0.5153
PIN,259,15,1907,5,143,16,58,2033,35,70,,4282,4231,0.4507,0.4805
PIN,260,3,505,1,42,5,12,525,5,12,,1110,1100,0.4591,0.4773
PIN,261,3,636,3,47,5,12,722,6,14,,1448,1437,0.4426,0.5024
PIN,262,0,0,0,0,0,0,0,0,0,,0,0,#DIV/0!,#DIV/0!
PIN,263,1,609,0,33,1,9,743,9,17,,1422,1412,0.4313,0.5262
PIN,264,0,74,0,9,0,3,110,0,3,,199,199,0.3719,0.5528
PIN,265,3,683,0,50,4,8,707,9,16,,1480,1467,0.4656,0.4819
PIN,266,5,910,1,63,2,16,1422,29,31,,2479,2448,0.3717,0.5809
PIN,267,0,153,0,21,0,4,225,5,3,,411,406,0.3768,0.5542
PIN,268,3,517,0,31,3,9,674,13,5,,1255,1239,0.4173,0.5440
PIN,269,3,587,2,29,4,8,713,8,6,,1360,1348,0.4355,0.5289
PIN,270,0,52,0,1,0,0,128,1,3,,185,184,0.2826,0.6957
PIN,271,0,39,0,4,0,2,29,1,1,,76,75,0.5200,0.3867
PIN,272,0,373,1,18,3,10,453,5,12,,875,867,0.4302,0.5225
PIN,273,0,202,0,8,0,3,259,1,2,,475,474,0.4262,0.5464
PIN,274,7,628,1,44,2,18,762,3,26,,1491,1486,0.4226,0.5128
PIN,275,1,259,0,23,1,8,311,6,12,,621,614,0.4218,0.5065
PIN,301,0,385,0,6,0,8,584,8,12,,1003,995,0.3869,0.5869
PIN,302,3,810,2,41,4,5,939,15,6,,1825,1806,0.4485,0.5199
PIN,303,1,542,1,33,2,10,835,9,19,,1452,1441,0.3761,0.5795
PIN,304,1,323,1,41,0,9,493,6,12,,886,880,0.3670,0.5602
PIN,305,3,848,2,62,2,19,1240,16,28,,2220,2202,0.3851,0.5631
PIN,306,3,834,2,56,3,26,1267,21,22,,2234,2210,0.3774,0.5733
PIN,307,8,1082,1,83,3,28,1555,13,29,,2802,2786,0.3884,0.5581
PIN,308,1,310,0,26,0,5,580,8,11,,941,933,0.3323,0.6217
PIN,309,7,1433,4,97,1,37,2291,30,46,,3946,3915,0.3660,0.5852
